employee,device,credential,event_time,shift_date,event_source,location,confidence,notes
,"#5 - H PRESSROOM",0110678895,"2026-01-05 15:12:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0299994904,"2026-01-05 15:13:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110676339,"2026-01-05 15:13:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0953151488,"2026-01-05 15:13:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110656694,"2026-01-05 15:13:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0253516319,"2026-01-05 15:13:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110661370,"2026-01-05 15:13:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110676337,"2026-01-05 15:14:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110676331,"2026-01-05 15:14:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0906354095,"2026-01-05 15:21:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0857397893,"2026-01-05 16:02:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0172645966,"2026-01-05 16:03:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0172645967,"2026-01-05 16:08:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0953150463,"2026-01-05 16:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0906298727,"2026-01-05 17:40:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0857392519,"2026-01-05 17:47:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0953144462,"2026-01-05 20:09:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0172645967,"2026-01-05 20:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0299990301,"2026-01-05 20:10:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110676325,"2026-01-05 20:12:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110656690,"2026-01-05 20:13:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110676325,"2026-01-05 20:35:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0953144462,"2026-01-05 20:38:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0110656690,"2026-01-05 20:39:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0172645967,"2026-01-05 20:39:00",2026-01-05,device,,,
,"#5 - H PRESSROOM",0299990301,"2026-01-05 20:39:00",2026-01-05,device,,,
